StationID,STATION NAME,LOCATION,INDUSTRY DOMAIN,STIPEND (UG),STIPEND (PG),NO. OF PROJECT,PREFERRED DISCIPLINES
571,Practo Technologies Pvt. Ltd.(Bangalore),Bangalore,Health Care,40000,0,1,"A7 , Any , C6 , H103"
1294,Price waterhouse Coopers (PWC)(Bangalore),Bangalore,,25000,0,1,"A1 , B3"
1237,Probe Equity Research                                          (Bangalore),Bangalore,Others,15000,0,1,Any
1249,QUALCOMM INDIA PRIVATE LIMITED(Bangalore),Bangalore,,30000,3,1,"A7 , A8 , AA , H103 , H112 , H123 , H124 , H140"
722,Qubole(Bangalore),Bangalore,IT,35000,0,1,"A7 , Any"
1054,Rovi Corporation(Bangalore),Bangalore,Others,40000,0,1,"A7 , Any , C6"
585,Sabre Holdings(Formely Sabre Travels)(Bangalore),Bangalore,IT,25000,0,18,"A3 , A7 , A8 , AA , Any , C6"
1239,Samsung R &D Institute(Bangalore),Bangalore,IT,35000,0,1,"A7 , AA , H103 , H124"
592,SAP Labs(Bangalore),Bangalore,IT,25000,0,3,"A7 , B4 , B5 , H103"
1100,Sellerworx Online Services Limited(Bangalore),Bangalore,IT,15000,15000,1,"A7 , C6 , H103"
595,Shell Technology Center(Bangalore),Bangalore,Chemical,20000,0,1,"A1 , A4 , A7 , B2"
1262,SmartLivez(Bangalore),Bangalore,,25000,0,2,"A3 , A7 , A8 , AA , H140"
1271,Smartlivez Technologies India Pvt. Ltd.(Bangalore),Bangalore,IT,25000,25000,2,"A3 , A7 , A8 , AA , H140"
1162,SureWaves Media Tech Pvt Ltd(Bangalore),Bangalore,IT,27500,0,1,"A7 , Any"
619,Symantec Software Solutions Pvt. Ltd.(Bangalore),Bangalore,IT,40000,40000,5,"A7 , AA , Any , C6 , H103"
620,Syniverse Technologies(Bangalore),Bangalore,IT,18000,0,1,"A1 , A7"
622,Tangoe India Softek Pvt Ltd(Bangalore),Bangalore,IT,25000,0,1,"A7 , C6"
624,TAS Analytic Services(Bangalore),Bangalore,Fin&mgt,15500,0,1,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , H149"
1315,Tata Advanced Materials Ltd(Bangalore),Bangalore,,10000,0,1,"A1 , A4 , H101 , H106"
635,Tejas Networks(Bangalore),Bangalore,IT,25000,0,1,"A4 , A7 , AA"
638,TESCO Hindustan Service Centre(Bangalore),Bangalore,Fin&mgt,25000,0,1,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , H149"
640,Texas Instruments (I) Pvt. Ltd.(Bangalore),Bangalore,Electronics  ,25000,0,1,"A3 , A8 , AA , B5 , H103 , H112 , H123 , H124 , H140"
1268,themeshapp(Bangalore),Bangalore,IT,25000,25000,1,"A7 , B4 , B5 , C6"
1264,Think and learn(Bangalore),Bangalore,,40000,0,1,"A3 , A7 , A8 , Any"
643,Tonbo Imaging Pvt Ltd.(Bangalore),Bangalore,Electronics  ,28000,0,3,"A3 , A4 , A7 , A8 , AA , Any"
1168,TYCO International Ltd(Bangalore),Bangalore,Mechanical,0,12000,1,"A7 , H103 , H106"
659,VMware Software India Pvt. Ltd.(Bangalore),Bangalore,IT,30000,0,1,"A7 , Any , C6"
661,Walmart Global Technology Services(Bangalore),Bangalore,IT,30000,0,1,"A7 , B3 , B4 , H103"
1270,"Xiaomi Technology India Private Limited,(Bangalore)",Bangalore,IT,25000,25000,1,Any
1261,Zapluk(Bangalore),Bangalore,,15000,0,1,"B3 , C7 , H149"
833,"Zinnov Management Consulting Pvt. Ltd., Bangalore(Bangalore)",Bangalore,Fin&mgt,15000,0,1,"A3 , A4 , A7 , A8 , Any , C6"
668,Zoomcar India Pvt. Ltd.(Bangalore),Bangalore,IT,25000,0,3,"A3 , A7 , A8 , Any , B3 , B4 , C6 , C7"
1118,Zynga Game Network India Pvt. Ltd.(Bangalore),Bangalore,IT,35000,0,1,A7
1323,Guru Nanak Dev Thermal plant (Bathinda),Bathinda,,0,0,1,"A3 , A4 , A8"
1165,VERVE CONSULTING PVT LTD(Bhubaneshwar),Bhubaneshwar,,10000,0,1,"A3 , Any , H149"
1167,HERON – A Parexel Company(Chandigarh),Chandigarh,,0,15000,1,H108
338,Amazon Development Center(Chennai),Chennai,IT,30000,0,2,"A7 , C6 , H103 , H112"
1224,Amazon- OPERATIONS(Chennai),Chennai,,30000,0,1,Any
673,Central Electronics Engineering Research Institute(Chennai),Chennai,Electronics  ,0,0,1,"A3 , A4 , A7 , A8 , AA , B1 , H123 , H129 , H140 , H141"
672,Central Leather Research Institute (CLRI)(Chennai),Chennai,Chemical,0,0,1,"A1 , A2 , A3 , A4 , A5 , A8 , AA , AB , Any , B1 , B2 , B3 , B4 , B5 , H101"
428,Frost & Sullivan(Chennai),Chennai,Fin&mgt,0,0,1,-
1280,Gaia Consulting and Solutions Pvt Ltd                                                                                           (Chennai),Chennai,,10000,10000,1,H149
448,Healthcare Technology Innovation Centre (HTIC)(Chennai),Chennai,Health Care,10000,12000,1,"A3 , A7 , A8 , Any"
1290,Hospira Healthcare India Pvt Ltd(Chennai),Chennai,,0,0,1,-
496,KPMG(Chennai),Chennai,Fin&mgt,15000,0,1,"A1 , A3 , A4 , A8 , AA , Any"
1251,PAYPAL(Chennai),Chennai,IT,50000,0,1,"A7 , AA"
1296,Price waterhouse Coopers (PWC)(Chennai),Chennai,,25000,0,1,"Any , B3"
576,Ramco Systems(Chennai),Chennai,IT,25000,0,1,"A3 , A7 , A8 , C6"
591,Sankara Nethralaya (Chennai),Chennai,Health Care,5000,0,1,"A3 , A7 , A8 , AA , Any , B1 , H129"
1057,Stayzilla - Inasra Technologies(Chennai),Chennai,IT,35000,0,1,"A3 , A7 , A8 , Any , C6"
616,Structural Engineering Research Centre(Chennai),Chennai,Infrastructure,0,0,1,"A2 , Any , B2 , H143 , H144"
1267,SunEdison(Chennai),Chennai,,10000,10000,1,"A3 , A4 , H149"
1292,VESTAS TECHNOLOGY LTD.(Chennai),Chennai,,0,0,1,H106
1241,ZOHO corporation(Chennai),Chennai,Fin&mgt,18000,18000,2,H149
466,Indian Institute of Petroleum(Dehradun),Dehradun,Chemical,2000,2000,1,"A1 , A4 , H129"
1068,Amazon Development Center(Delhi),Delhi,IT,30000,0,1,"A7 , AA , Any , C6"
1226,BIS Research Pvt. Ltd(Delhi),Delhi,,15000,0,1,"A5 , Any , H149"
1197,ET MEDIALABS(Delhi),Delhi,,5000,0,1,-
1297,Price waterhouse Coopers (PWC)(Delhi),Delhi,,25000,0,1,"Any , B3"
1272,Quality Council of India (Delhi),Delhi,,25000,0,1,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB , B1 , B2 , B3 , B4 , B5"
810,Tata Motors(Dharwad),Dharwad,Mechanical,18000,18000,1,"A3 , A4 , AA , AB"
1238,CIPLA Ltd(Goa),Goa,Health Care,14000,14000,6,"A3 , H101 , H129 , H143"
394,Crompton Grieves PPI adhesive products Ltd(Goa),Goa,Mechanical,0,0,1,-
441,GMI Zarhak Moulders Pvt. Ltd.(Goa),Goa,Mechanical,5000,0,1,"A1 , A4"
461,IFB Industries(Goa),Goa,Mechanical,15000,15000,6,"A3 , A4 , A8 , AA , B4 , B5 , H106 , H124 , H140 , H141"
613,ST Microelectronics(I) Pvt.Ltd.(Greater Noida),Greater Noida,Electronics  ,18000,0,1,"A3 , A8 , AA"
1225,Amazon- OPERATIONS(Gurgaon),Gurgaon,,30000,0,1,Any
352,Aurum Equity Partners(Gurgaon),Gurgaon,Fin&mgt,15000,0,1,Any
1059,Bundl Technologies Private Limited (Swiggy)(Gurgaon),Gurgaon,Fin&mgt,20000,0,1,Any
1285,DB MUdra Group(Gurgaon),Gurgaon,,10000,10000,1,H149
1245,Eko India Financial Services Private Limited (Gurgaon),Gurgaon,Others,10000,0,2,"A7 , C6 , H149"
416,Ericsson Global India Pvt. Ltd.(Gurgaon),Gurgaon,IT,20000,0,1,"A1 , A7 , Any , C6"
434,Gabrel India Ltd(Gurgaon),Gurgaon,Mechanical,0,0,2,A4
264,Genpact(Gurgaon),Gurgaon,Fin&mgt,15000,15000,1,"B3 , C7 , H149"
795,GlaxoSmithKline(Gurgaon),Gurgaon,Health Care,20000,20000,1,"H108 , H146 , H147"
1231,Grofers (Gurgaon),Gurgaon,IT,40000,0,1,"A7 , Any"
449,Hike(Gurgaon),Gurgaon,IT,30000,30000,1,"A7 , Any , C6"
1312,Kinapse Ltd(Gurgaon),Gurgaon,,0,0,1,"B1 , H129 , H146 , H147 , H149"
497,KPMG(Gurgaon),Gurgaon,Fin&mgt,15000,0,1,"A1 , A3 , A4 , A8 , AA"
1083,Lama Capital Management(Gurgaon),Gurgaon,Fin&mgt,10000,10000,1,"A3 , A7 , A8 , AA , Any , B3 , C6 , C7"
758,LEXINNOVA(Gurgaon),Gurgaon,Fin&mgt,20040,20040,2,"A3 , A7 , A8 , AA , Any , C6"
509,Mahle Filters India Ltd(Gurgaon),Gurgaon,Mechanical,8000,0,4,"A4 , AB"
1327,onlinetyari.com(Gurgaon),Gurgaon,,0,0,2,"A7 , Any"
